Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Indian Fairy Tales,"Joseph Jacobs, John D Batten, Gloria Cardew, Joseph JACOBS, Joseph Jacobs, Aberdeen Press, Jacobs, Ed, Joseph, John Dickson Batten, Joseph Joseph Jacobs",THE Bodhissatta was at one time born in the region of Himavanta as a white crane ; now Brahmadatta was at that time reigning in Benares.,"Fantasy, Fiction, Mythology, Short Stories, Classic Literature, Folklore, Juvenile Fiction, Fairy tales, Folklore, india, Fiction, fantasy, collections & anthologies, India, fiction, Fiction, fantasy, general, Fairy tales -- India, Folklore -- India",1892,No page count available,eng,No rating,https://openlibrary.org/works/OL240336W,https://covers.openlibrary.org/b/id/767614-M.jpg
The Great Hunt (The Wheel of Time Book 2),Robert Jordan,No description available,"Rand al'Thor (Fictitious character), Fiction, Fantasy fiction, Fantasy, Fiction, fantasy, epic, Rand al'thor (fictitious character), fiction, Fiction, fantasy, historical, Fiction, fantasy, general, Aes Sedai, Rand al'Thor, wheel of time, robert jordon, American Fantasy fiction, Imaginary places, Good and evil, Adventure stories, Heroes, Magic, Imaginary wars and battles, Sex role, Prophecies, Reincarnation, American literature, Novela estadounidense, Novela fantástica estadounidense",1990,No page count available,"eng, fre, dut, spa",No rating,https://openlibrary.org/works/OL7924135W,https://covers.openlibrary.org/b/id/182352-M.jpg
Neverwhere,Neil Gaiman,No description available,"Fiction, Underground areas, Underground homeless persons, Businessmen, Subways, Fantasy fiction, Fantasy, London (england), fiction, Fiction, fantasy, contemporary, Fiction, horror, London Below, Rats, nyt:e-book-fiction=2012-03-04, New York Times bestseller, Fiction, fantasy, general, FICTION / Fantasy / Contemporary, FICTION / Fantasy / Urban Life, FICTION / Literary, Zones souterraines, Romans, nouvelles, Hommes d'affaires, Métros, Personas desamparadas, Novela, Áreas subterráneas, Negociantes, Ferrocarriles subterráneos",1996,No page count available,"fre, spa, eng, rus, por, ger, pol",No rating,https://openlibrary.org/works/OL679333W,https://covers.openlibrary.org/b/id/1008998-M.jpg
La ciudad de las bestias,Isabel Allende,"ALEXANDER COLD AWAKENED at dawn, startled by a nightmare.","Juvenile fiction, Indians of South America, Teenagers, Grandmothers, Fiction, Supernatural, Indios de América del Sur, Adventure and adventurers, Sobrenatural, Amazonas, Valle del Río, Ficción juvenil, Aventuras, Abuelas, Paranormal fiction, Adventure stories, Grossmutter, Jugendbuch, Enkel, Expedition, Amazon river, fiction, Indians of south america, fiction, Grandparents, fiction, Adventure and adventurers, fiction, Fantasy fiction, New York Times reviewed, Children's fiction, Supernatural, fiction, Amazon River Valley in fiction, Grandmothers in fiction, Supernatural in fiction, Adventure and adventurers in fiction, Indians of South America in fiction, Adventure and adventurers -- Fiction, Supernatural -- Fiction, Indians of South America -- Amazon River Valley -- Fiction, Grandmothers -- Fiction, Amazon River Valley -- Fiction, Exploration, Native Americans, Adventure fiction, Large type books, Fiction, action & adventure, Grandparent and child, Rain forests, Nature, Effect of human beings on, Roman d'aventures, Aventuriers, Romans, nouvelles, Nouvelles occultes, Indiens d'Amérique, Grands-mères",2002,No page count available,"ita, fre, ara, gre, spa, ger, eng",No rating,https://openlibrary.org/works/OL1905269W,https://covers.openlibrary.org/b/id/35590-M.jpg
Black Cauldron (Chronicles of Prydain,Lloyd Alexander,Autumn had come too swiftly.,"Courage, Fantasy, Good and evil, Heroes, Juvenile fiction, Prydain (Imaginary place), Magic, Quests (Expeditions), Fiction, Pigs, Swine, Taran (Fictitious character : Alexander), Adventure and adventurers, Newbery Honor, Children's fiction, Adventure and adventurers, fiction, Fantasy fiction, Prydain (imaginary place), fiction, Magic, fiction, Pigs, fiction, Pottery, fiction, Children's stories, Witchcraft, fiction, Universal decimal Classification",1965,No page count available,"eng, und, ger",No rating,https://openlibrary.org/works/OL1966566W,https://covers.openlibrary.org/b/id/580387-M.jpg
Song of Susannah,Stephen King,No description available,"horror fiction, good and evil, heroes, literature, supernatural, dark fantasy, Fantasy fiction, Fiction, epic fiction, adventure fiction, wolves, Roland (Fictitious character), Fiction, fantasy, epic, Roland (fictitious character : king), fiction, Dark tower (imaginary place), fiction, Roland (Fictitious character : King), Fiction, fantasy, general, Roland of Gilead (Fictitious character), Protected DAISY, Roland (Fictitious character : King) -- Fiction., Science fiction, fantasy, horror",1999,No page count available,"pol, ita, spa, eng, dut, chi, rus, ger",No rating,https://openlibrary.org/works/OL149200W,https://covers.openlibrary.org/b/id/8393691-M.jpg
The Willows,Algernon Blackwood,"After leaving Vienna, and long before you come to Budapest, the Danube enters a region of singular loneliness and desolation, where its waters spread away on all sides regardless of a main channel, and the country becomes a swamp for miles upon miles, covered by a vast sea of low willow-bushes.","Comics & graphic novels, general, Fiction, ghost, Fiction, absurdist, Fiction, horror, Fiction, fantasy, general",2002,No page count available,"eng, spa",No rating,https://openlibrary.org/works/OL2700635W,https://covers.openlibrary.org/b/id/2751803-M.jpg
The Wonderful Story of Henry Sugar and Six More,Roald Dahl,"Not so long ago, I decided to spend a few days in the West Indies.","Juvenile books, Teenage fiction, Children's stories, English, Short stories, JUVENILE FICTION / Short Stories, JUVENILE FICTION / Fantasy & Magic, JUVENILE FICTION / Humorous Stories, English Young adult fiction, Children's stories, Literature and fiction, juvenile, Histoires pour enfants anglaises, Fiction, short stories (single author), fiction 13+, English language, English literature",1977,No page count available,"spa, dut, eng",No rating,https://openlibrary.org/works/OL45864W,https://covers.openlibrary.org/b/id/9297060-M.jpg
The Lost Princess of Oz,L. Frank Baum,"THERE could be no doubt of the fact: Princess Ozma, the lovely girl ruler of the Fairyland of Oz, was lost.","Fantasy, Juvenile literature, Children's stories, Classic Literature, Fiction, Oz (Imaginary place), Fantasy fiction, Children's fiction, Oz (imaginary place), fiction, Fiction, fantasy, general",1917,No page count available,eng,No rating,https://openlibrary.org/works/OL18411W,https://covers.openlibrary.org/b/id/854819-M.jpg
Jurgen,James Branch Cabell,"IT is a tale which they narrate in Poictesme, saying: In the old days lived a pawnbroker named Jurgen; but what his wife called him was very often much worse than that.","Classic Literature, Fantasy, Fiction, Middle Ages, Devil, Wives, Poictesme (imaginary place), fiction, Fiction, fantasy, historical, Fiction, fantasy, epic, Fiction, humorous, general, Moyen Âge, Romans, nouvelles",1919,No page count available,"yid, eng",No rating,https://openlibrary.org/works/OL6585796W,https://covers.openlibrary.org/b/id/5553063-M.jpg
The Green Fairy Book (Large Print),"Andrew Lang, Henry Justice Ford",Once upon a time there lived a King who was immensely rich.,"Fairy tales, Children's fiction, Children's stories, Fiction, fantasy, general",1892,No page count available,eng,No rating,https://openlibrary.org/works/OL1088797W,https://covers.openlibrary.org/b/id/2808709-M.jpg
Pyramids,Terry Pratchett,"Nothing but stars, scattered across the blackness as though the Creator had smashed the windscreen of his car and hadn't bothered to stop to sweep up the pieces.","American Fantasy fiction, Discworld (Imaginary place), Fantasy, Fiction, Pyramids, Translations into Russian, Pyramids -- Fiction., English fiction, Fiction, fantasy, general, Discworld (imaginary place), fiction, Fiction, humorous, Science fiction, fantasy, horror, Fiction, science fiction, general, Fiction, humorous, general, Literature and fiction, science fiction, Fiction, general, Spanish: Adult Fiction",1989,No page count available,"tur, fre, cze, rus, dut, spa, ger, pol, eng",No rating,https://openlibrary.org/works/OL453661W,https://covers.openlibrary.org/b/id/14646151-M.jpg
Dragonfly in Amber,Diana Gabaldon,"Roger Wakefield stood in the center of the room, feeling surrounded.","Historical Fiction, Fiction, Time travel, Imaginary voyages, Culloden, Battle of, Scotland, 1746, Scotland, Romance, Fantasy, Historical, Fiction, historical, Fiction, romance, historical, Fraser, jamie (fictitious character), fiction, Scotland, fiction, Fiction, general, Fiction, romance, time travel, France, fiction, Fraser, claire (fictitious character), fiction, History, nyt:combined-print-and-e-book-fiction=2014-08-31, New York Times bestseller, Man-woman relationships, Family secrets, Mothers and daughters, Jacobite Rebellion, 1745-1746, Jacobite rebellion, 1745-1746, fiction, Man-woman relationships, fiction, Mothers and daughters, fiction, Science fiction, Fiction, romance, general, Voyages dans les temps, Romans, nouvelles, Fiction, fantasy, general, Frau, Zeitreise, Liebesbeziehung, Unabhängigkeitsbewegung, Fiction, romance, historical, general, Polish language materials, Voyages dans le temps, Relations entre hommes et femmes, Secrets de famille, Mères et filles, Rébellion des Jacobites, 1745-1746, Histoire",1992,No page count available,"fre, spa, ger, pol, heb, eng",No rating,https://openlibrary.org/works/OL3261153W,https://covers.openlibrary.org/b/id/6920490-M.jpg
Out of the Silent Planet,C.S. Lewis,"The last drops of the thundershower had hardly ceased falling when the Pedestrian stuffed his map into his pocket, settled his pack more comfortably on his tired shoulders, and stepped out from the shelter of a large chestnut-tree into the middle of the road.","Linguists, Elwin Ransom (Fictitious character), Readers, Philologists, Science fiction, College teachers, Life on other planets, Fiction, Good and evil, Fantasy fiction, Interplanetary voyages, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, English Science fiction, British and irish fiction (fictional works by one author), Fiction, science fiction, general, Ransom, elwin (fictitious character), fiction, College teachers, fiction",1938,No page count available,"pol, eng",No rating,https://openlibrary.org/works/OL71166W,https://covers.openlibrary.org/b/id/9321665-M.jpg
