Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Stormbreaker,Anthony Horowitz,"When his guardian dies in suspicious circumstances, Alex Rider goes from schoolboy to superspy within days as his world is turned upside down. Forcibly recruited into MI6, Alex has to take part in gruelling SAS training. Then, armed with his own special set of secret gadgets, he's off on his first mission.",Children's stories,2000,235,en,4,http://books.google.co.in/books?id=T4ubKgAACAAJ&dq=subject:action&hl=&cd=12&source=gbs_api,http://books.google.com/books/content?id=T4ubKgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Dark Side of Apokolips,Laurie Sutton,Superman travels to the dangerous Apokolips and comes head-to-head with the most fearson villian of the universe - Darkseid.,Juvenile Nonfiction,2015,89,en,No rating,http://books.google.co.in/books?id=-j4XCgAAQBAJ&printsec=frontcover&dq=subject:action&hl=&cd=13&source=gbs_api,http://books.google.com/books/content?id=-j4XCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Stormbreaker,"Anthony Horowitz, Antony Johnston, Kanako Damerum, Yuzuru Takasaki","Forcibly recruited into MI6 after the mysterious death of his guardian, fourteen-year-old Alex is sent to infiltrate the organization of a sinister billionaire. Within days he's gone from schoolboy to superspy - and it looks like his first assignment may be his last... The official graphic novel adaptation of 2006's hottest movie blockbuster, Stormbreaker.",Children's stories,2006,144,en,5,http://books.google.co.in/books?id=SbjrAAAACAAJ&dq=subject:action&hl=&cd=14&source=gbs_api,http://books.google.com/books/content?id=SbjrAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Skeleton Key,Anthony Horowitz,"Sequel to Point Blanc - Alex Rider, reluctant teenage superspy is needed by MI6 once again.",Action,2005,0,en,4,http://books.google.co.in/books?id=w59BAAAACAAJ&dq=subject:action&hl=&cd=15&source=gbs_api,http://books.google.com/books/content?id=w59BAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Man with the Golden Gun,Ian Fleming,"Bond Was A Good Agent Once', Said M. 'There'S No Reason Why He Shouldn'T Be A Good Agent Again. Get Me The File On Scaramanga. If We Can Get Him Fit, That'S The Right-Sized Target For 007.' 'But That'S Suicide, Sir!' Even 007 Could Never Take Him. A Brainwashed James Bond Has Tried-And Failed-To Assassinate M, His Boss. Now Bond Has To Prove He Is Back On Form And Can Be Trusted Again. All 007 Has To Do Is Kill One Of The Most Deadly Freelance Hit Men In The World: Paco 'Pistols' Scaramanga, The Man With The Golden Gun. But Despite His License To Kill, 007 Is No Assassin, And On Finding Scaramanga In The Sultry Heat Of Jamaica, He Decides To Infiltrate The Killer'S Criminal Cooperative-And Realizes That He Will Have To Take Him Out As Swiftly As Possible. Otherwise 007 Might Just Be The Next On A Long List Of British Secret Service Numbers Retired By The Man With The Golden Gun...",Action,2006,0,en,No rating,http://books.google.co.in/books?id=lCGhPwAACAAJ&dq=subject:action&hl=&cd=16&source=gbs_api,http://books.google.com/books/content?id=lCGhPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Robert Ludlum's The Bourne Ascendancy,"Robert Ludlum, Eric Van Lustbader","Jason Bourne is working as a 'blacksmith' - hired by high-level government ministers fearful of assassination attempts. He is paid to impersonate these men at meetings in places of uncertain security around the globe, but when armed gunmen storm one such meeting, they're target is not the minister he impersonates, but Bourne himself. Kidnapped and transported to an underground bunker, Bourne finds himself face-to-face with a well-known terrorist who demands that Bourne carry out a special mission for him - one, that if completed, will have dire consequences for the entire world.",Action,2015-05-21,0,en,No rating,http://books.google.co.in/books?id=vujFngEACAAJ&dq=subject:action&hl=&cd=17&source=gbs_api,http://books.google.com/books/content?id=vujFngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Scorpia,Anthony Horowitz,"After being told that his father was an assassin for a criminal organization, fourteen-year-old Alex goes to Italy to find out more and becomes involved in a plan to kill thousands of English schoolchildren.",Adventure stories,2004,358,en,4.5,http://books.google.co.in/books?id=yJOwAAAACAAJ&dq=subject:action&hl=&cd=18&source=gbs_api,http://books.google.com/books/content?id=yJOwAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Apocalypse Watch,Robert Ludlum,"Deep in the Hausruck Mountains of Austria there is a remote hideaway - the fortress-like nerve centre of an ominous movement, the Brotherhood of the Watch. American agent Harry Latham has penetrated the movement, but now, after three years in deep cover, he has disappeared.",Adventure stories,1996,789,en,No rating,http://books.google.co.in/books?id=QXppQgAACAAJ&dq=subject:action&hl=&cd=19&source=gbs_api,No thumbnail available
Heads You Die,Steve Cole,No description available,Murder,2016,No page count available,en,No rating,http://books.google.co.in/books?id=4RqGAQAACAAJ&dq=subject:action&hl=&cd=20&source=gbs_api,http://books.google.com/books/content?id=4RqGAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Icarus Agenda,Robert Ludlum,Thriller set in the world of power politics. An unassuming Congressman from Colorado mediates in the release of 200 hostages from the Middle East.,American fiction,1988,812,en,No rating,http://books.google.co.in/books?id=fQi_QgAACAAJ&dq=subject:action&hl=&cd=21&source=gbs_api,No thumbnail available
Action TV,"Bill Osgerby, Anna Gough-Yates","From re-runs of 'TV classics' like The Avengers or Starsky and Hutch, to soundtracks, club nights and film remakes such as Mission Impossible II, the action series is enjoying a popular revival. Yet little attention has been paid to the history, nature and enduring appeal of the action series, and its place in popular culture, past and present. Action TV traces the development of the action series from its genesis in the 1950s. From The Saint to Knigh t Rider, contributors explore the key shows which defined the genre, addressing issues of audiences and consumption, gender and sexuality, fashion and popular culture. They examine the institutional and cultural factors influencing the action series, and relate shifts in the genre to other forms of popular culture including film, pop music, fashion and popular literature. Chapters include: * Of leather suits and kinky boots: The Avengers, style and popular culture * 'Who loves ya, baby?': Kojak, action and the great society *'A lone crusader in a dangerous world': heroics of science and technology in Knight Rider * Angels in chains? feminism, femininity and consumer culture in Charlie's Angels * 'Who's the cat that won't cop out?' Black masculinity in American action shows of the sixties and seventies",Social Science,2001,260,en,No rating,http://books.google.co.in/books?id=ruu_QgAACAAJ&dq=subject:action&hl=&cd=22&source=gbs_api,http://books.google.com/books/content?id=ruu_QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Off-Road Legends,Blake Hoena,Three short stories featuring the ThunderTrucks include B-Phon facing off against the Chimera broters in a free-wheeling showdown and Atalanta entering in a death-defying race to prove her legendary speed.,Juvenile Fiction,2018-10,145,en,No rating,http://books.google.co.in/books?id=dgtfDwAAQBAJ&printsec=frontcover&dq=subject:action&hl=&cd=23&source=gbs_api,http://books.google.com/books/content?id=dgtfDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Double Or Die,Charles Higson,"James Bond is no ordinary boy. In North London cemetery, a professor is kidnapped at gunpoint. A suspicious letter crammed with cryptic clues arrives at Eton. To decipher the deadly mystery, James Bond must take a series of dangerous gambles. Once the code is cracked, he has just forty-eight hours to save the professor from the dark forces.",Adventure and adventurers,2007,352,en,4.5,http://books.google.co.in/books?id=ezsZAAAACAAJ&dq=subject:action&hl=&cd=24&source=gbs_api,http://books.google.com/books/content?id=ezsZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Hell Island,Matthew Reilly,"Hell Island is a secret place where classified experiments have been carried out - When all contact is lost with the people on the island, four special forces units are dropped on the island to discover what has happened.",Experimental rangelands,2005,118,en,No rating,http://books.google.co.in/books?id=A1oYPwAACAAJ&dq=subject:action&hl=&cd=25&source=gbs_api,No thumbnail available
War Hawk,"James Rollins, Grant Blackwood",No description available,Fiction,2015-02-18,384,en,No rating,http://books.google.co.in/books?id=0ngIrgEACAAJ&dq=subject:action&hl=&cd=26&source=gbs_api,http://books.google.com/books/content?id=0ngIrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Battle for Imperia (Dragon Games #3),Maddy Mara,"An adventure-packed series about three kids who travel into a magical, dragon-filled world! To return the final egg to its rightful place, the kids must travel to the ancient city of Sofia. At first, it seems like this quest will be a piece of cake-- until they come across the giant, shapeshifting insect hiding in walls of the city!",Juvenile Fiction,2023-08,0,en,No rating,http://books.google.co.in/books?id=nVdMzwEACAAJ&dq=subject:action&hl=&cd=27&source=gbs_api,http://books.google.com/books/content?id=nVdMzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Sphere,Michael Crichton,"In the middle of the South Pacific, a thousand feet below the surface of the water, a huge vessel is discovered resting on the ocean floor. It is a spaceship of phenomenal dimensions, apparently undamaged by its fall from the sky. And, most startling, it appears to be at least three hundred years old. But even more fantastic--and frightening--is what waits inside . . .",Life on other planets,1998,500,en,No rating,http://books.google.co.in/books?id=GSITQgAACAAJ&dq=subject:action&hl=&cd=28&source=gbs_api,No thumbnail available
Renegade,Don Pendleton,"Mack Bolan hits the streets of Tehran, looking for a renegade former Soviet weapons expert who sold out to the terror business. In a world held hostage by the madness of a few, Bolan stands determined to fight. Original.",Fiction,2006,356,en,No rating,http://books.google.co.in/books?id=sYE3XOtxxRUC&dq=subject:action&hl=&cd=29&source=gbs_api,http://books.google.com/books/content?id=sYE3XOtxxRUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Avenger,"Andy McNab, Robert Rigby","Despite the fierce objections of his grandfather, ex-SAS explosives expert Fergus Watts, Danny and his friend Elena are sucked into an undercover operation to find and destroy Black Star. As the trail leads them to New York, the master of trickery and deception draws the teenagers into spiralling danger as he seeks to take his revenge on the world. [from back cover].",Juvenile Fiction,2007,324,en,No rating,http://books.google.co.in/books?id=ZJ0atntd3c4C&dq=subject:action&hl=&cd=30&source=gbs_api,http://books.google.com/books/content?id=ZJ0atntd3c4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Blood Oil,James Phelan,"BLOOD OIL sees the return of Ex-Navy operative Lachlan Fox. Now working as an investigative journalist, Lachlan Fox has been visiting some of the world s trouble spots. But a trip to Africa brings him face to face with a horror that could change him forever. Set in Nigeria, Venezuela, the US and UK this book revolves around terrorism, oil supply and poverty, drawing upon world news and current affairs, making it a truly contemporary read, in keeping with Phelan's trademark thrillers. From New York to Nigeria, London to Libya, Fox and his best mate Alistair Gammaldi race to unravel a sinister plan before each step is put into action. Lachlan Fox is going to prove, again, that there is a hero in all of us.",Australian fiction,2009,520,en,No rating,http://books.google.co.in/books?id=erBHPwAACAAJ&dq=subject:action&hl=&cd=31&source=gbs_api,http://books.google.com/books/content?id=erBHPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Sure Fire,"Jack Higgins, Justin Richards","The mother of 15 year old twins Rich and Jade dies in a car crash and they are told they must go and live with their estranged father, John Chance, who they have never met before. A bachelor who lives on his own, he soon makes it clear that Rich and Jade are not welcome.",Uncategorized,2007,304,en,No rating,http://books.google.co.in/books?id=QWOIGAAACAAJ&dq=subject:action&hl=&cd=32&source=gbs_api,http://books.google.com/books/content?id=QWOIGAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Point of Betrayal,Don Pendleton,"""We call you Saint."" The name ignited a light in Carl's mind. Saint. He'd been covertly recruited for Black Ops and given his life to the most brutal kind of training any man or woman could endure. He was here because he belonged here. To the X Group. An assasin. The most effective killer in the world. And yet . . . Carl Strople struggles to retain fleeting memories that betray an even more ominous reality. He's been told part of the truth--but what's the rest? Invasive techniques have stripped him of his identity and made him someone new--for this he is grateful. But there are some things they can't take from him. The love of a woman, unbroken loyalties to his past, the need for survival. From the deep woods of Hungary to the streets of New York, Saint takes you on a journey of betrayal in a world of government cover-ups, political intrigue, and one man's search for the truth. In the end, that truth will be his undoing.",Fiction,2005,356,en,No rating,http://books.google.co.in/books?id=I7ICc40cO9UC&dq=subject:action&hl=&cd=33&source=gbs_api,http://books.google.com/books/content?id=I7ICc40cO9UC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Deep End,Sam Hutton,"Your life can change in a second. Maddie Cooper's did. She and her parents were gunned down in the street. Maddie's mother was killed, her father left in a wheelchair. Searching for a new role in life, Maddie signs up as a trainee in her father's notorious flying squad.",Juvenile Nonfiction,2003,228,en,No rating,http://books.google.co.in/books?id=qs9omwz0xakC&dq=subject:action&hl=&cd=34&source=gbs_api,http://books.google.com/books/content?id=qs9omwz0xakC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Criminal Investigation Detachment,Don Bendell,"Major Bobby Samuels is part of the Army's specialized team of detectives known as the C.I.D. And when he's sent to Iraq to investigate a series of explosions, he learns that on this battlefield, the enemy isn't the only thing that can kill you.",Fiction,2006,244,en,No rating,http://books.google.co.in/books?id=L_ZbgtKt8sMC&dq=subject:action&hl=&cd=35&source=gbs_api,http://books.google.com/books/content?id=L_ZbgtKt8sMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Survival Reflex,Don Pendleton,"A desperate call for help from an old friend sends Mack Bolan to the heart of the blood-drenched Amazon, where his life-saving skills are severely tested amongst the Brazilian tribes embroiled in civil war. Original.",Fiction,2006,356,en,No rating,http://books.google.co.in/books?id=O2iAacvjn1MC&dq=subject:action&hl=&cd=36&source=gbs_api,http://books.google.com/books/content?id=O2iAacvjn1MC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Target,Chris Bradford,"FAME MAKES FOR AN EASY TARGET. Ash Wild is the most successful teen rockstar in history. Millions of fans adore him. But one fanatic wants him dead. Surf champion and top bodyguard recruit Charley Hunter is assigned to protect the superstar on his sell-out US tour. But Ash isn't pleased to discover his new bodyguard is a girl. Faced with a growing number of death threats, several suspicious accidents and an unruly rockstar, Charley has her work cut out keeping Ash alive on the tour. How will she spot a killer in a crowd of 50,000 screaming fans?",Action,2016,0,en,No rating,http://books.google.co.in/books?id=dBSxjgEACAAJ&dq=subject:action&hl=&cd=37&source=gbs_api,http://books.google.com/books/content?id=dBSxjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Treason,Stuart Woods,A close friend requires Stone Barrington's expertise to eradicate a destructive presence in a classified agency. It soon becomes clear that this renegade was sent by a rival Stone has encountered before.,Action,2020-01-07,0,en,No rating,http://books.google.co.in/books?id=KRWOEAAAQBAJ&dq=subject:action&hl=&cd=38&source=gbs_api,http://books.google.com/books/content?id=KRWOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Season of Slaughter,Don Pendleton,"Washington's largest airport is attacked by an American militia group holding hands with Jihad terrorists, leaving more than 500 people dead. It's up to Mack Bolan and the warriors of Stony Man to stop these assassins from finding and destroying their target: the U.S. government. Original.",Fiction,2005,354,en,No rating,http://books.google.co.in/books?id=OwKcLqznGawC&dq=subject:action&hl=&cd=39&source=gbs_api,http://books.google.com/books/content?id=OwKcLqznGawC&printsec=frontcover&img=1&zoom=1&source=gbs_api
