Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Cover Her Face,P. D. James,"Headstrong and beautiful, the young housemaid Sally Jupp is put rudely in her place, strangled in her bed behind a bolted door. Coolly brilliant policeman Adam Dalgliesh of Scotland Yard must find her killer among a houseful of suspects, most of whom had very good reason to wish her ill. Cover Her Face is P. D. James's electric debut novel, an ingeniously plotted mystery that immediately placed her among the masters of suspense.",Fiction,1983,276,en,No rating,http://books.google.co.in/books?id=i40gAQAAIAAJ&dq=subject:mystery&hl=&cd=70&source=gbs_api,http://books.google.com/books/content?id=i40gAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Crime and Punishment,Fedor Mikhailovich Dostoevskii,"Raskolnikov commits murder. He then must deal both with the police, and his own guilty conscience. Determined to overreach his humanity and assert his untrammelled individual will, Raskolnikov, an impoverished student living in the St. Petersburg of the Tsars, commits an act of murder and theft, and sets in motion a story which, for its excruciating suspense, its atmospheric vividness, and its profundity of characterization and vision, is almost unequaled in the literatures of the world. The best known of Dostoevsky's masterpieces, Crime and Punishment can bear any amount of rereading without losin a drop of its power over our imagination.",Murder,1968,434,en,No rating,http://books.google.co.in/books?id=pw4JuAEACAAJ&dq=subject:mystery&hl=&cd=71&source=gbs_api,No thumbnail available
The Hound of the Baskervilles,Arthur Conan Doyle,"Part of the ANDRE DEUTSCH CLASSICS series, a classic mystery story which features Sherlock Holmes, who is called upon to investigate reports of a beast which is terrorizing an American gentleman and his family. Includes an introduction by Trevor McDonald.",Detective and mystery stories,1985,178,en,No rating,http://books.google.co.in/books?id=VGWDPwAACAAJ&dq=subject:mystery&hl=&cd=72&source=gbs_api,No thumbnail available
Murder is Easy,Agatha Christie,No description available,Mystery,1941,No page count available,en,No rating,http://books.google.co.in/books?id=gXQcQwAACAAJ&dq=subject:mystery&hl=&cd=74&source=gbs_api,No thumbnail available
The Revenge of the Wizard's Ghost,John Bellairs,"Collapsed in a weird trance, Johnny Dixon is dying. Professor Childermass soon learns why--Johnny is possessed by the spirit of the late Warren Windrow. In a desperate effort to find a clue that will save Johnny's life, the Professor races to the gloomy Windrow estate where he finds himself fighting for his own life.",Juvenile Fiction,1997,164,en,No rating,http://books.google.co.in/books?id=FoyhSrj6RFsC&dq=subject:mystery&hl=&cd=75&source=gbs_api,http://books.google.com/books/content?id=FoyhSrj6RFsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"""A"" is for Alibi",Sue Grafton,A woman wrongly convicted of murdering her husband hires private detective Kinsey Millhone to find the real killer.,Fiction,1987,238,en,No rating,http://books.google.co.in/books?id=EqYXZLeFvocC&dq=subject:mystery&hl=&cd=76&source=gbs_api,http://books.google.com/books/content?id=EqYXZLeFvocC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Secret in the Old Lace,Carolyn Keene,"While in Belgium investigating the mystery surrounding an antique cross, Nancy and her friends learn that her entry in a short story contest may somehow be involved.",Juvenile Fiction,1989,180,en,No rating,http://books.google.co.in/books?id=qz-cY1aE3vkC&dq=subject:mystery&hl=&cd=77&source=gbs_api,http://books.google.com/books/content?id=qz-cY1aE3vkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Angel of Darkness,Caleb Carr,"In one of the most critically acclaimed novels of the year, Caleb Carr-- bestselling author of The Alienist--pits Dr. Laszlo Kreizler and his colleagues against a murderer as evil as the darkest night. . . .",Fiction,1998,772,en,No rating,http://books.google.co.in/books?id=3kTCn5KmnFUC&dq=subject:mystery&hl=&cd=78&source=gbs_api,http://books.google.com/books/content?id=3kTCn5KmnFUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Falls,Ian Rankin,Donated.,Fiction,2003-02-17,516,en,3.5,http://books.google.co.in/books?id=56eXYepg8KAC&dq=subject:mystery&hl=&cd=79&source=gbs_api,http://books.google.com/books/content?id=56eXYepg8KAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Ricochet,Sandra Brown,"Detective Sergeant Duncan Hatcher knows he must exercise discretion when investigating a fatal shooting at the home of Judge Cato Laird, but he is both suspicious of and attracted to the Judge's wife.",Fiction,2006,412,en,No rating,http://books.google.co.in/books?id=XdplAAAAMAAJ&dq=subject:mystery&hl=&cd=80&source=gbs_api,http://books.google.com/books/content?id=XdplAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
