Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
"Kahlil Gibran, Man and Poet","Suheil B. Bushrui, Joe Jenkins","Bushrui and Jenkins have produces a biography that meticulously explores the complex intricacies of this philosopher-poet. Offering fresh insights into his life, times and work, this unique book sets new criteria in evaluating Gibran.",Biography & Autobiography,1998,416,en,No rating,http://books.google.co.in/books?id=VkRjAAAAMAAJ&dq=subject:poetry&hl=&cd=79&source=gbs_api,http://books.google.com/books/content?id=VkRjAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Hands of Day,Pablo Neruda,"Pablo Neruda is one of the world's great poets, and Copper Canyon Press has long been dedicated to publishing translations of his work in bilingual editions. The Hands of Day--at long last translated into English in its entirety--pronounces Neruda's desire to take part in the great human making of the day. Moved by the guilt of never having worked with his hands, Neruda opens with the despairing confession, ""Why did I not make a broom? / Why was I given hands at all?"" The themes of hands and work grow in significance as Neruda celebrates the carpenters, longshoremen, blacksmiths, and bakers--those laborers he admires most--and shares his exuberant adoration for the earth and the people upon it. Yes, I am guilty of what I did not do, of what I did not sow, did not cut, did not measure, of never having rallied myself to populate lands, of having sustained myself in the deserts and of my voice speaking with the sand. Pablo Neruda (1904-1973) was a Chilean poet and diplomat who received the Nobel Prize in Literature in 1971. Recognized during his life as ""a people's poet,"" he is considered one of the greatest artists of the twentieth century. William O'Daly is the best-selling translator of six of Pablo Neruda's books, including The Book of Questions and The Sea and the Bells. His work as a translator has been featured on The Today Show.",Poetry,2008,215,en,No rating,http://books.google.co.in/books?id=bQzcAgAAQBAJ&dq=subject:poetry&hl=&cd=80&source=gbs_api,http://books.google.com/books/content?id=bQzcAgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Past and Present (Classic Reprint),Unknown Author,"Excerpt from Past and Present Who fall before, and blindly adore The Goddess they miscall Love. For the soul that ennobles Woman They know not, who kneel in the dust, And raise a throne, for a Goddess of stone, To rule o'er her Court of Lust. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",Poetry,2015-07-14,96,en,No rating,http://books.google.co.in/books?id=XHkiswEACAAJ&dq=subject:poetry&hl=&cd=84&source=gbs_api,http://books.google.com/books/content?id=XHkiswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Barrack-room Ballads of Rudyard Kipling,Rudyard Kipling,"For the modern reader of Kipling's Barrack-Room Ballads - among the most enduringly popular poems ever published in England - some explanation of their contemporary expressions and allusions and their military context is necessary if he is to appreciate them in their full glory. John Whitehead, critic and biographer who himself served with the Indian Army in Burma, has provided this in full measure in his entertaining and scholarly Introduction and comprehensive textual Notes. This Centenary Edition of the ballads is unlikely ever to be superseded.",Literary Criticism,1995,184,en,No rating,http://books.google.co.in/books?id=GwJbAAAAMAAJ&dq=subject:poetry&hl=&cd=87&source=gbs_api,http://books.google.com/books/content?id=GwJbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Notes to Myself,Hugh Prather,No description available,Poetry,1982,164,en,No rating,http://books.google.co.in/books?id=z0Gg7KAcvS4C&dq=subject:poetry&hl=&cd=88&source=gbs_api,http://books.google.com/books/content?id=z0Gg7KAcvS4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
the witch doesn't burn in this one,"Amanda Lovelace, ladybookmad","The witch: supernaturally powerful, inscrutably independent, and now—indestructible. These moving, relatable poems encourage resilience and embolden women to take control of their own stories. Enemies try to judge, oppress, and marginalize her, but the witch doesn’t burn in this one.",Poetry,2018-03-06,194,en,No rating,http://books.google.co.in/books?id=TQNKDwAAQBAJ&printsec=frontcover&dq=subject:poetry&hl=&cd=90&source=gbs_api,http://books.google.com/books/content?id=TQNKDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Grand Inquisitor,Fyodor Dostoyevsky,"""The Grand Inquisitor"" is a poem in Fyodor Dostoyevsky's novel The Brothers Karamazov (1879-1880). It is recited by Ivan, who questions the possibility of a personal and benevolent God, to his brother Alyosha, a novice monk. ""The Grand Inquisitor"" is an important part of the novel and one of the best-known passages in modern literature because of its ideas about human nature and freedom, and its fundamental ambiguity.",Uncategorized,2017-02-07,No page count available,en,No rating,http://books.google.co.in/books?id=G5cRnQAACAAJ&dq=subject:poetry&hl=&cd=91&source=gbs_api,http://books.google.com/books/content?id=G5cRnQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Troilus and Criseyde - Scholar's Choice Edition,Geoffrey Chaucer,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Uncategorized,2015-02-17,306,en,No rating,http://books.google.co.in/books?id=NwY3rgEACAAJ&dq=subject:poetry&hl=&cd=92&source=gbs_api,http://books.google.com/books/content?id=NwY3rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Don Juan Junior,George R Wythen Baxter,"Experience the wit and charm of Don Juan in this hilarious and irreverent poem. From his romantic escapades to his comedic mishaps, Don Juan Junior is a rollicking adventure through the life of this famous character. This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the ""public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Uncategorized,2023-07-18,0,en,No rating,http://books.google.co.in/books?id=3S4l0AEACAAJ&dq=subject:poetry&hl=&cd=93&source=gbs_api,http://books.google.com/books/content?id=3S4l0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Divine Comedy,Dante Alighieri,"The Divine Comedy by Dante Alighieri ni Schicchi, Myrrha, Adam of Brescia, Potiphar's Wife, and Sinon of Troy. XXXI. The Giants, Nimrod, Ephialtes, and Antaeus. Descent to Cocytus. XXXII. The Ninth Circle: Traitors. The Frozen Lake of Cocytus. First Division, Caina: Traitors to their Kindred. Camicion de' Pazzi. Second Division, Antenora: Traitors to their Country. Dante questions Bocca degli Abati. Buoso da Duera. XXXIII. Count Ugolino and the Archbishop Ruggieri. The Death of Count Ugolino's Sons. Third Division of the Ninth Circle, Ptolomaea: Traitors to their Friends. Friar Alberigo, Branco d' Oria. XXXIV. Fourth Division of the Ninth Circle, the Judecca: Traitors to their Lords and Benefactors. Lucifer, Judas Iscariot, Brutus, and Cassius. The Chasm of Lethe. The Ascent. Incipit Comoedia Dantis Alagherii, Florentini natione, non moribus. We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades, and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature, and our view is that this is a significant literary work, which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product, each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work, and that for you it becomes an enriching experience.",Uncategorized,2018-06-21,300,en,No rating,http://books.google.co.in/books?id=idHNuAEACAAJ&dq=subject:poetry&hl=&cd=94&source=gbs_api,http://books.google.com/books/content?id=idHNuAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
